song_name,name,song_id,cluster
...Ready For It?,Taylor Swift,7zgqtptZvhf8GEmdsM2vp2,6
Life Changes,Thomas Rhett,4Vxu50qVrQcycjRyJQaZLC,1
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,1
Galway Girl,Ed Sheeran,0afhq8XCExXpqazXczTSve,1
Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,2
Havana (feat. Young Thug),Camila Cabello,0ofbQMrRDsUaVKq2mGLEAb,4
Havana (feat. Young Thug),Young Thug,0ofbQMrRDsUaVKq2mGLEAb,4
When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,2
Gonna Fly Now,Bill Conti,6C2PfemHQul77DVpnvuAIs,3
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,3PGdPUMdUg7a3Tgr5gkfKK,1
Don't Wanna Know (feat. Kendrick Lamar),Kendrick Lamar,3PGdPUMdUg7a3Tgr5gkfKK,1
Thinking out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f,1
Everybody Talks,Neon Trees,3528IXKpbb7OMjdjWYlbfD,6
We Are Never Ever Getting Back Together,Taylor Swift,7AEAGTc8cReDqcbPoY9gwo,1
Bad Blood,Taylor Swift,273dCMFseLcVsoSWx59IoE,6
Hall of Fame (feat. will.i.am),The Script,1X1DWw2pcNZ8zSub3uhlNz,1
Hall of Fame (feat. will.i.am),will.i.am,1X1DWw2pcNZ8zSub3uhlNz,1
Payphone,Maroon 5,1LmN9SSHISbtp9LoaR5ZVJ,1
Payphone,Wiz Khalifa,1LmN9SSHISbtp9LoaR5ZVJ,1
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,1
Stuck Like Glue,Sugarland,0JcKdUGNR7zI4jJDLyYXbi,1
That's What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,1
Steal My Girl,One Direction,2Bs4jQEGMycglOfWPBqrVG,4
I'm the One,DJ Khaled,72Q0FQQo32KJloivv5xge2,1
I'm the One,Justin Bieber,72Q0FQQo32KJloivv5xge2,1
I'm the One,Quavo,72Q0FQQo32KJloivv5xge2,1
I'm the One,Chance the Rapper,72Q0FQQo32KJloivv5xge2,1
I'm the One,Lil Wayne,72Q0FQQo32KJloivv5xge2,1
Wildest Dreams,Taylor Swift,59HjlYCeBsxdI0fcm3zglw,1
Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,1
Unwritten,Natasha Bedingfield,1D1nixOVWOxvNfWi0UD7VX,1
Ignition - Remix,R. Kelly,3zSCNTXI7Ed0PiidZVmzIe,1
Free Fallin',Tom Petty,5tVA6TkbaAH9QMITTQRrNv,1
Brown Eyed Girl,Van Morrison,3yrSvpt2l1xhsV9Em88Pul,1
It Girl,Jason Derulo,4fINc8dnfcz7AdhFYVA4i7,4
"Hey, Soul Sister",Train,0KpfYajJVVGgQ32Dby7e9i,4
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,4
Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,1
Closer,Halsey,7BKLCZ1jbUBVqRi2FVlTVw,1
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1WkMMavIMc4JZ8cfMmxHkI,1
Kiss Me Thru The Phone,Soulja Boy,2q4rjDy9WhaN3o9MvDbO21,1
Kiss Me Thru The Phone,Sammie,2q4rjDy9WhaN3o9MvDbO21,1
Uptown Funk (feat. Bruno Mars),Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,1
Uptown Funk (feat. Bruno Mars),Bruno Mars,32OlwWuMpZ6b0aN2RZOeMS,1
Blank Space,Taylor Swift,1p80LdxRV74UKvL8gnD7ky,1
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,7LcfRTgAVTs5pQGEQgUEzN,4
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Christina Aguilera,7LcfRTgAVTs5pQGEQgUEzN,4
Roar,Katy Perry,6F5c58TMEs1byxUstkzVeM,4
Ymca,Village People,7Cp69rNBwU0gaFT8zxExlE,1
You Belong With Me,Taylor Swift,3GCL1PydwsLodcpv0Ll1ch,1
All These Things That I've Done,The Killers,0kYUrLVQOfx21xuXu7OGrT,6
I Knew You Were Trouble.,Taylor Swift,72jCZdH0Lhg93z6Z4hBjgj,4
Cake By The Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC,4
Call Me Maybe,Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx,1
22,Taylor Swift,3bIxTsfeNMO7Nt2J3EUKrA,1
California Gurls,Katy Perry,6tS3XVuOyu10897O3ae7bi,1
California Gurls,Snoop Dogg,6tS3XVuOyu10897O3ae7bi,1
Welcome To New York,Taylor Swift,6qnM0XXPZOINWA778uNqQ9,1
Our Song,Taylor Swift,15DeqWWQB4dcEWzJg15VrN,1
Love Story,Taylor Swift,1vrd6UOGamcKNGnSHJQlSt,1
Hey Stephen,Taylor Swift,4WXzzCof26KJLTK5kK53dS,1
Style,Taylor Swift,1fo2ctLqj3zBhRQKOXprol,1
Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH,1
Mean,Taylor Swift,5yEPktRqvIhko5QFF3aBhQ,1
Gorgeous,Taylor Swift,0CLnkxpa3M4eA3HeGaERat,1
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,7zMcNqs55Mxer82bvZFkpg,1
All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a,2
Let Her Go,Passenger,6GmUVqe73u5YRfUUynZK6I,2
Stay With Me,Sam Smith,5Db9VIdDsN5yu3Eu7CT0i4,2
The A Team,Ed Sheeran,1VdZ0vKfR5jneCmWIUAMxK,2
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1jYiIOC5d6soxkJP81fxq2,1
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Justin Bieber,1jYiIOC5d6soxkJP81fxq2,1
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Quavo,1jYiIOC5d6soxkJP81fxq2,1
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Chance the Rapper,1jYiIOC5d6soxkJP81fxq2,1
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Lil Wayne,1jYiIOC5d6soxkJP81fxq2,1
Mirrors,Justin Timberlake,2JZKXgq5zsokN01KWyiY6n,4
Firework,Katy Perry,4lCv7b86sLynZbXhfScfm2,1
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,0
What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs,4
Sorry Not Sorry,Demi Lovato,3Du2K5dLzmduCNp6uwuaL0,7
Stronger (What Doesn't Kill You),Kelly Clarkson,6D60klaHqbCl9ySc8VcRss,1
In Case You Didn't Know,Brett Young,2dWgzqawzDkBL8QfZw92Ub,2
Singles You Up,Jordan Davis,3IPkbTA8KkdDXyWtGkfFXa,1
Craving You,Thomas Rhett,6zLdXcmvIxnAXpz9sXFnIE,4
Craving You,Maren Morris,6zLdXcmvIxnAXpz9sXFnIE,4
All On Me,Devin Dawson,2Nc8Imt04W3ZmcBF8dPQKc,1
Light It Up,Luke Bryan,6znSbsDDFdBZaiucjUGaWy,4
Unforgettable,Thomas Rhett,30MM5jWpUmOxtTNd9Ey5LZ,1
I'll Name the Dogs,Blake Shelton,2n5ZD87XQ2yvIxGjoYbUmZ,6
Greatest Love Story,LANCO,0kdiUZDcLIFw0Buo9r0Q4z,1
You Broke Up with Me,Walker Hayes,6UsoV6X96Rox9mfxoz7SFy,1
Kiss Somebody,Morgan Evans,1mJMD1VIQ7jWTP9DK2zmY0,6
Like I Loved You,Brett Young,3T6MAweakkNrMYs8jZIWtg,1
The Long Way,Brett Eldredge,1KTLLe980WR4RLKg74Ud6e,2
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,7iDa6hUg2VgEL1o1HjmfBn,1
Meant to Be (feat. Florida Georgia Line),Florida Georgia Line,7iDa6hUg2VgEL1o1HjmfBn,1
Getting Over You,Jackie Lee,4oeGQb7zAVNRkpjjoNHK5K,6
Marry Me,Thomas Rhett,0OWZFobGSIW9GrSlQ9C5pc,1
What Ifs (feat. Lauren Alaina),Kane Brown,7zVCrzzEJU7u24sbJPXA5W,1
What Ifs (feat. Lauren Alaina),Lauren Alaina,7zVCrzzEJU7u24sbJPXA5W,1
Do I Make You Wanna,Billy Currington,3I7krC8kr0gFR7P6vInR1I,1
Happens Like That,Granger Smith,5Zx1zVpDJsNgyY3HvNfsfC,1
We Were That Song,Brett Kissel,6OUdBkpAQtKyZ74cKukZ9W,1
Down,Jay Sean,7LP4Es66zdY7CyjepqmvAg,1
Down,Lil Wayne,7LP4Es66zdY7CyjepqmvAg,1
Hey Ya!,Outkast,2PpruBYCo4H7WOBJ7Q2EwM,4
Never Forget You,Zara Larsson,6WLS56xiRrXjSm9RSdL3zD,4
Never Forget You,MNEK,6WLS56xiRrXjSm9RSdL3zD,4
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1MtUq6Wp1eQ8PC6BbPCj8P,4
I Took A Pill In Ibiza - Seeb Remix,Seeb,1MtUq6Wp1eQ8PC6BbPCj8P,4
Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,2
Shower,Becky G,3DmW6y7wTEYHJZlLo1r6XJ,1
It Ain’t Me (with Selena Gomez),Kygo,12GEpg2XOPyqk03JZEZnJs,1
It Ain’t Me (with Selena Gomez),Selena Gomez,12GEpg2XOPyqk03JZEZnJs,1
Trumpets,Jason Derulo,5KONnBIQ9LqCxyeSPin26k,7
Coming Home,Diddy - Dirty Money,6Iocm6VMu6bVNYwiDoyQFW,6
Coming Home,Skylar Grey,6Iocm6VMu6bVNYwiDoyQFW,6
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,4
Rockabye (feat. Sean Paul & Anne-Marie),Sean Paul,5knuzwU65gJK7IF5yJsuaW,4
Rockabye (feat. Sean Paul & Anne-Marie),Anne-Marie,5knuzwU65gJK7IF5yJsuaW,4
Baby,Justin Bieber,6epn3r7S14KUqlReYr77hA,4
Baby,Ludacris,6epn3r7S14KUqlReYr77hA,4
Umbrella,Rihanna,49FYlytm3dAAraYgpoJZux,6
Umbrella,JAY-Z,49FYlytm3dAAraYgpoJZux,6
Replay,Iyaz,5vlEg2fT4cFWAqU5QptIpQ,1
Dynamite,Taio Cruz,1DqdF42leyFIzqNDv9CjId,1
I Gotta Feeling,Black Eyed Peas,4vp2J1l5RD4gMZwGFLfRAu,1
Some Nights,fun.,67WTwafOMgegV6ABnBQxcE,1
Escape (The Pina Colada Song),Rupert Holmes,5IMtdHjJ1OtkxbGe4zfUxQ,1
Ain't No Mountain High Enough,Marvin Gaye,1LeWIs2hP2r5yOQnVuYoI5,1
Ain't No Mountain High Enough,Tammi Terrell,1LeWIs2hP2r5yOQnVuYoI5,1
Brighter Than The Sun,Colbie Caillat,5YTtTbqxUzJHD3CpbNHerP,1
Sweet Caroline - Single Version,Neil Diamond,6l7tK5SsMlN8a9ccgeIkpS,2
Love Shack,The B-52's,4W4wYHtsrgDiivRASVOINL,4
Walking On Sunshine,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,1
Riptide,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,1
Ho Hey,The Lumineers,2nXM8IVqKtyO6JKsLlXWAy,2
Don't Stop Believin',Journey,3HRQtRUYnnuZY7fE900XtJ,6
All Star,Smash Mouth,22c2pt75xtnDddA5Zlm0yy,1
Single Ladies (Put a Ring on It),Beyoncé,5R9a4t5t5O0IsznsrKPVro,7
Ridin' Solo,Jason Derulo,7ksYJ95P5vP87A0GH34CIk,1
What Makes You Beautiful,One Direction,03oZejWqXLbKhhM4iTgShq,1
Call Me Maybe,Carly Rae Jepsen,20I6sIOMTCkB6w7ryavxtO,1
Sweet Home Alabama,Lynyrd Skynyrd,6RgGppm2SSX5p246UqfdEi,1
Livin' On A Prayer,Bon Jovi,3X7abqSXC4xrxuC1ykpWcY,1
Have You Ever Seen The Rain,Creedence Clearwater Revival,2LawezPeJhN4AWuSB0GtAU,1
September,"Earth, Wind & Fire",5e3l460eVGMNqQgFc9Rv7q,1
Ice Ice Baby,Vanilla Ice,66AiuTr5v9tw6B8gXau2aU,1
Say Something,A Great Big World,6Vc5wAMmXdKIAM7WUoEb7N,0
Say Something,Christina Aguilera,6Vc5wAMmXdKIAM7WUoEb7N,0
Life is a Highway,Rascal Flatts,2Fs18NaCDuluPG1DHGw1XG,1
Just the Way You Are,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ,1
Jack & Diane,John Mellencamp,43btz2xjMKpcmjkuRsvxyg,1
Free Fallin',Tom Petty,7woZGXjtaYwuvSoU1zToB3,2
Home,Phillip Phillips,4rsW3WCZBGwhHfJWuHRwyT,6
Chicken Fried,Zac Brown Band,4dGJf1SER1T6ooX46vwzRB,6
Love Story,Taylor Swift,0kN3oXYWWAk1uC0y2WoyOE,1
Wagon Wheel,Darius Rucker,3xdjjKMcMOFgo1eQrfbogM,1
Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,4
Timber,Pitbull,3cHyrEgdyYRjgJKSOiOtcS,1
Timber,Kesha,3cHyrEgdyYRjgJKSOiOtcS,1
Song of the South,Alabama,4uUwD0uYzIDjKMKQglzmD2,6
Dixieland Delight - Single Edit,Alabama,4swEkkLocrQ569W1lYIbdX,2
"Hey, Soul Sister",Train,7lJSxSUUlrZ7CxiyO3X0vq,4
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,4356Typ82hUiFAynbLYbPn,4
DJ Got Us Fallin' In Love (feat. Pitbull),Pitbull,4356Typ82hUiFAynbLYbPn,4
Girl on Fire,Alicia Keys,4esOae7i4rqTbAu9o5Pxco,1
Count on Me,Bruno Mars,7l1qvxWjxcKpB9PCtBuTbU,2
Marry You,Bruno Mars,22PMfvdz35fFKYnJyMn077,1
Locked out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh,1
Versace on the Floor,Bruno Mars,0kN8xEmgMW9mh7UmDYHlJP,6
Grenade,Bruno Mars,2tJulUYLDKOg9XrtVkMgcJ,4
The Lazy Song,Bruno Mars,1ExfPZEiahqhLyajhybFeS,4
Riptide,Vance Joy,3JvrhDOgAt6p7K8mDyZwRd,1
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,2
I'm Yours,Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,1
Let Me Take You Out,Bryan J,4tM7IvirymOPAk74Us27kD,1
Let Me Take You Out,Travis Porter,4tM7IvirymOPAk74Us27kD,1
Replay,Iyaz,4E5P1XyAFtrjpiIxkydly4,1
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,1Q1jlFs004vwB0DOznii3K,1
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),Yung Joc,1Q1jlFs004vwB0DOznii3K,1
Yeah! (feat. Lil Jon & Ludacris),USHER,5rb9QrpfcKFHM1EUbSIurX,1
Yeah! (feat. Lil Jon & Ludacris),Lil Jon,5rb9QrpfcKFHM1EUbSIurX,1
Yeah! (feat. Lil Jon & Ludacris),Ludacris,5rb9QrpfcKFHM1EUbSIurX,1
Down,Jay Sean,6ND2f7SUjYNpLqL0WPcNT1,1
Down,Lil Wayne,6ND2f7SUjYNpLqL0WPcNT1,1
Party In The U.S.A.,Miley Cyrus,3E7dfMvvCLUddWissuqMwr,4
Ridin' Solo,Jason Derulo,6OEolOOk9Gh9bqkdpfIOl0,1
Forever,Chris Brown,4X3FiBn7cd88I3MVtph9By,1
Just Dance,Lady Gaga,6HkjpGIOHv4y0IBAxUbE5z,4
Just Dance,Colby O'Donis,6HkjpGIOHv4y0IBAxUbE5z,4
TiK ToK,Kesha,5OMwQFBcte0aWFJFqrr5oj,4
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,1
My House,Flo Rida,6Knv6wdA0luoMUuuoYi2i1,4
"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",The Soggy Bottom Boys,5AhDb4oM6f4YmHPXW123Fg,2
"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",Dan Tyminski,5AhDb4oM6f4YmHPXW123Fg,2
"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack",Gillian Welch,0x5EMnC2M9pDTAAStksrDt,2
"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack",Alison Krauss,0x5EMnC2M9pDTAAStksrDt,2
Shut Up and Dance,WALK THE MOON,4kbj5MwxO1bq9wjT5g9HaA,1
It's A Great Day To Be Alive,Travis Tritt,3oW6SWwGqiZSPTiAp7ZQoH,1
Don't Stop Believin',Journey,77NNZQSqzLNqh2A9JhLRkg,6
I Want You Back,The Jackson 5,0PGwM5vdr5fMejx0IIAYXj,1
Piano Man,Billy Joel,70C4NyhjD5OZUMzvWZ3njJ,0
Sweet Home Alabama,Lynyrd Skynyrd,7e89621JPkKaeDSTQ3avtg,1
Sunday Candy,Nico Segal,6fTdcGsjxlAD9PSkoPaLMX,7
I Need A Dollar,Aloe Blacc,5OA2EQqiP7r7Zcl6nw8ICW,4
This Is What You Came For,Calvin Harris,0azC730Exh71aQlOt9Zj3y,4
This Is What You Came For,Rihanna,0azC730Exh71aQlOt9Zj3y,4
California Girls - Remix/Remastered 2001,The Beach Boys,6bJuuCtXYiwOcKT9s8uRh8,1
Elvira,The Oak Ridge Boys,0mG66FLhO0iZ6XCAGdjpax,1
Jai Ho,A.R. Rahman,4i3MgUew8ynhf49Qwr4IP4,1
Jai Ho,Sukhwinder Singh,4i3MgUew8ynhf49Qwr4IP4,1
Jai Ho,Tanvi Shah,4i3MgUew8ynhf49Qwr4IP4,1
Jai Ho,Mahalakshmi Iyer,4i3MgUew8ynhf49Qwr4IP4,1
Wagon Wheel,Old Crow Medicine Show,359krpyCKcFF8SFvqWES9L,2
My Love (feat. T.I.),Justin Timberlake,4NeOWqHmlrGRuBvsLJC9rL,7
My Love (feat. T.I.),T.I.,4NeOWqHmlrGRuBvsLJC9rL,7
