title,artist
I Had Some Help (feat. Morgan Wallen),Post Malone
A Bar Song (Tipsy),Shaboozey
Come back to me,RM
I Had Some Help (feat. Morgan Wallen),Post Malone
Not Like Us,Kendrick Lamar
HIND'S HALL,Macklemore
Stargazing,Myles Smith
Lose Control,Teddy Swims
Lose My Breath,Stray Kids & Charlie Puth
Feel Like Hell Today,Cooper Alan
Come back to me (Radio Edit),RM
Heartbreak Summer,Whitney Wren
MILLION DOLLAR BABY,Tommy Richman
Ronald,"Falling In Reverse, Tech N9ne & Alex Terrible"
Miles On It,Marshmello & Kane Brown
Too Sweet,Hozier
euphoria,Kendrick Lamar
Beautiful Things,Benson Boone
BOA,Megan Thee Stallion
Beautiful As You,Thomas Rhett
Come back to me,RM
Espresso,Sabrina Carpenter
A Bar Song (Tipsy),Shaboozey
meet the grahams,Kendrick Lamar
Lose My Breath (Instrumental),Stray Kids & Charlie Puth
Fortnight (feat. Post Malone),Taylor Swift
Cab In A Solo,Scotty McCreery
Where That Came From,Randy Travis
I Can Do It With a Broken Heart,Taylor Swift
Like That,"Future, Metro Boomin & Kendrick Lamar"
Jelly (feat. 2Rare) [Remix],DreamDoll
I Can't,Reba McEntire
Troubles,Ren
Technicolor Honeymoon,Maisy Kay
Austin,Dasha
The Door,Teddy Swims
Cab In A Solo,Scotty McCreery
Cowgirls (feat. ERNEST),Morgan Wallen
Live Like You Were Dying,Tim McGraw
Family Matters,Drake
Save Me (with Lainey Wilson),Jelly Roll
BOA,Megan Thee Stallion
Training Season,Dua Lipa
Who’s Afraid of Little Old Me?,Taylor Swift
Halfway To Hell,Jelly Roll
Take It All Back,"Tauren Wells, We The Kingdom & Davies"
i like the way you kiss me,Artemas
Where the Wild Things Are,Luke Combs
Lil Boo Thang,Paul Russell
Can You Hear Me,Zhang Zhe Han
we can't be friends (wait for your love),Ariana Grande
Dirt Cheap,Cody Johnson
Wondering Why,The Red Clay Strays
A Country Boy Can Survive,"Hank Williams, Jr."
Slow It Down,Benson Boone
TRUCK BED,HARDY
GOOD DAY,Forrest Frank
Last Night,Morgan Wallen
Stick Season,Noah Kahan
Need a Favor,Jelly Roll
Save Me,Jelly Roll
The Sound of Silence (CYRIL Remix),Disturbed
Down Bad,Taylor Swift
Wildflowers and Wild Horses (Single Version),Lainey Wilson
Illusion,Dua Lipa
Austin,Dasha
Not Today,Mitchell Tenpenny
Here Comes the Hotstepper (Heartical Mix),Ini Kamoze
HE KNOWS (feat. Lil Nas X),Camila Cabello
TEXAS HOLD 'EM,Beyoncé
Bulletproof,Nate Smith
Wine Into Whiskey,Tucker Wetmore
Push Ups,Drake
GO HOME W U,Keith Urban & Lainey Wilson
Houdini,Dua Lipa
Thinkin’ Bout Me,Morgan Wallen
Cruel Summer,Taylor Swift
Lovin On Me,Jack Harlow
Flowers,Miley Cyrus
Beautiful Things,Benson Boone
Hard to Love,Lee Brice
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
Death Wish,Royale Lynn & Danny Worsnop
Fast Car,Luke Combs
White Horse,Chris Stapleton
Let Your Boys Be Country,Jason Aldean
Worst Way,Riley Green
Unwritten,Natasha Bedingfield
Hurricane,Eden Golan
A Symptom Of Being Human,Shinedown
Hammer to the Heart,Teddy Swims
II MOST WANTED,Beyoncé & Miley Cyrus
Devil You Know,Tyler Braden
Fireside,Chase Rice
Made For Me,Muni Long
Home,Good Neighbours
Buttons,The Pussycat Dolls
Tennessee Whiskey,Chris Stapleton
Wanna Be,GloRilla & Megan Thee Stallion
